Threshold 1,Threshold 2,Threshold 3,Threshold 4,Threshold 5
-2.0195,-0.1491,0.7911,2.2261,4.2043
-1.7277,-0.144,0.4834,1.5968,4.1391
-1.7723,0.3716,1.2411,2.1867,3.4083
-1.2934,-0.2835,0.6874,1.6133,3.0576
-1.7108,-0.3967,0.2701,1.1417,2.2679
